Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
4569,TechCorp,Social Media,Women 25-34,60 days,Email,0.09,"$18,094.00",4.87,New York,French,834,3655,8,Fashionistas,2021-07-08
4605,Alpha Innovations,Display,Women 35-44,45 days,YouTube,0.04,"$15,722.00",7.05,Miami,French,724,6004,9,Tech Enthusiasts,2021-08-13
4607,TechCorp,Email,All Ages,15 days,Facebook,0.11,"$18,750.00",3.79,Los Angeles,German,150,3631,2,Outdoor Adventurers,2021-08-15
4614,Innovate Industries,Influencer,All Ages,60 days,Website,0.02,"$9,405.00",7.73,New York,French,511,2028,5,Tech Enthusiasts,2021-08-22
4623,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.04,"$14,217.00",5.63,Miami,French,246,1769,9,Outdoor Adventurers,2021-08-31
4735,Innovate Industries,Display,All Ages,45 days,Facebook,0.08,"$9,410.00",5.77,Miami,Mandarin,179,5819,1,Outdoor Adventurers,2021-12-21
4753,Innovate Industries,Email,Men 18-24,30 days,Instagram,0.04,"$11,701.00",2.27,Los Angeles,French,344,8814,5,Fashionistas,2021-01-08
4856,Alpha Innovations,Email,Men 18-24,15 days,Facebook,0.05,"$7,077.00",6.38,Miami,Spanish,307,2460,4,Tech Enthusiasts,2021-04-21
4860,TechCorp,Display,Men 25-34,30 days,YouTube,0.1,"$16,304.00",7.95,Miami,Mandarin,461,3184,2,Tech Enthusiasts,2021-04-25
4905,TechCorp,Display,Men 18-24,15 days,Website,0.1,"$14,312.00",3.83,Chicago,English,891,6628,6,Tech Enthusiasts,2021-06-09
4912,Innovate Industries,Social Media,All Ages,45 days,Google Ads,0.11,"$5,002.00",4.7,Chicago,Spanish,570,8222,9,Foodies,2021-06-16
4980,NexGen Systems,Search,Men 18-24,15 days,Facebook,0.11,"$15,088.00",5.43,Los Angeles,Mandarin,903,4499,1,Fashionistas,2021-08-23
5023,Innovate Industries,Search,Women 25-34,60 days,Google Ads,0.04,"$12,323.00",6.41,Houston,Spanish,579,7544,10,Outdoor Adventurers,2021-10-05
5029,DataTech Solutions,Influencer,Men 25-34,45 days,Instagram,0.08,"$19,644.00",4.8,Houston,Spanish,549,6802,9,Foodies,2021-10-11
5048,NexGen Systems,Influencer,Men 18-24,30 days,Instagram,0.1,"$19,668.00",6.84,Los Angeles,French,915,2177,4,Fashionistas,2021-10-30
5116,NexGen Systems,Search,Men 18-24,30 days,Website,0.04,"$18,114.00",4.26,Los Angeles,English,986,2650,5,Tech Enthusiasts,2021-01-06
5132,NexGen Systems,Influencer,Men 25-34,30 days,Website,0.15,"$18,406.00",2.99,Houston,English,558,7031,1,Tech Enthusiasts,2021-01-22
5255,DataTech Solutions,Display,All Ages,15 days,Instagram,0.08,"$19,080.00",7.13,Houston,German,434,3733,5,Health & Wellness,2021-05-25
5395,TechCorp,Email,Men 25-34,60 days,Instagram,0.06,"$5,235.00",3.04,Los Angeles,German,689,4466,5,Tech Enthusiasts,2021-10-12
5527,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.1,"$11,137.00",2.96,Houston,German,708,2785,1,Health & Wellness,2021-02-21
5589,NexGen Systems,Social Media,All Ages,30 days,Google Ads,0.11,"$14,064.00",3.45,Chicago,Mandarin,982,6966,5,Fashionistas,2021-04-24
5628,NexGen Systems,Search,All Ages,30 days,Instagram,0.14,"$18,947.00",4.55,Los Angeles,German,854,8206,5,Foodies,2021-06-02
5638,DataTech Solutions,Email,All Ages,60 days,Instagram,0.13,"$7,321.00",6.66,Chicago,Spanish,861,5813,5,Tech Enthusiasts,2021-06-12
5738,TechCorp,Search,Men 18-24,30 days,Email,0.07,"$17,620.00",4.62,Chicago,English,788,9236,4,Outdoor Adventurers,2021-09-20
5759,DataTech Solutions,Email,All Ages,30 days,Website,0.13,"$8,845.00",2.52,Los Angeles,English,391,6773,6,Health & Wellness,2021-10-11
5819,DataTech Solutions,Search,Women 25-34,45 days,Google Ads,0.01,"$8,744.00",4.15,New York,French,633,7367,5,Health & Wellness,2021-12-10
5858,Alpha Innovations,Social Media,Men 18-24,15 days,YouTube,0.12,"$18,033.00",6.61,Chicago,German,694,9495,2,Health & Wellness,2021-01-18
5867,NexGen Systems,Search,Women 25-34,30 days,YouTube,0.02,"$11,488.00",4.78,Los Angeles,Spanish,805,7105,7,Outdoor Adventurers,2021-01-27
5872,NexGen Systems,Social Media,All Ages,60 days,Website,0.06,"$14,615.00",3.82,Los Angeles,English,292,8400,4,Tech Enthusiasts,2021-02-01
5961,NexGen Systems,Display,Women 25-34,15 days,Email,0.1,"$18,226.00",6.16,Houston,German,170,9985,8,Health & Wellness,2021-05-01
5981,DataTech Solutions,Display,Women 35-44,60 days,Google Ads,0.15,"$12,273.00",5.07,Houston,German,448,3323,6,Foodies,2021-05-21
5990,NexGen Systems,Email,Men 18-24,15 days,Google Ads,0.07,"$8,128.00",5.01,New York,French,811,8911,5,Tech Enthusiasts,2021-05-30
5992,NexGen Systems,Social Media,All Ages,30 days,Facebook,0.04,"$10,609.00",4.65,Houston,French,275,6990,1,Tech Enthusiasts,2021-06-01
6030,Alpha Innovations,Display,Women 25-34,45 days,YouTube,0.13,"$5,438.00",4.52,Chicago,Mandarin,806,5346,4,Fashionistas,2021-07-09
6055,TechCorp,Display,Men 18-24,15 days,Website,0.08,"$14,786.00",5.25,Chicago,German,892,3655,7,Tech Enthusiasts,2021-08-03
6059,NexGen Systems,Display,Men 18-24,15 days,Instagram,0.09,"$10,789.00",2.35,Houston,Spanish,731,9713,4,Tech Enthusiasts,2021-08-07
6102,NexGen Systems,Social Media,Women 35-44,60 days,YouTube,0.12,"$19,776.00",7.61,New York,French,822,7340,4,Foodies,2021-09-19
6214,NexGen Systems,Influencer,Men 18-24,15 days,Instagram,0.03,"$16,292.00",2.57,New York,English,766,7749,9,Tech Enthusiasts,2021-01-09
6313,TechCorp,Display,Men 18-24,45 days,Facebook,0.12,"$12,790.00",2.24,Chicago,Spanish,842,3536,7,Tech Enthusiasts,2021-04-18
6333,TechCorp,Social Media,Women 35-44,15 days,Website,0.15,"$13,700.00",3.24,Miami,Mandarin,770,6587,9,Foodies,2021-05-08
6371,Alpha Innovations,Influencer,Women 35-44,45 days,Google Ads,0.08,"$6,461.00",2.72,New York,French,179,2397,2,Foodies,2021-06-15
6394,Innovate Industries,Display,All Ages,15 days,Email,0.09,"$19,506.00",7.53,Chicago,German,875,2078,9,Tech Enthusiasts,2021-07-08
6470,Alpha Innovations,Display,All Ages,45 days,Website,0.1,"$6,540.00",2.21,Chicago,Spanish,914,2808,4,Foodies,2021-09-22
6529,NexGen Systems,Social Media,Men 18-24,15 days,Facebook,0.12,"$7,408.00",7.4,Miami,English,267,8712,9,Fashionistas,2021-11-20
6538,NexGen Systems,Influencer,All Ages,15 days,Email,0.04,"$10,466.00",4.63,Chicago,Spanish,950,4176,5,Health & Wellness,2021-11-29
6541,DataTech Solutions,Search,Women 25-34,15 days,Website,0.04,"$11,620.00",4.63,New York,Mandarin,669,6619,10,Outdoor Adventurers,2021-12-02
6604,Alpha Innovations,Search,Men 18-24,15 days,Instagram,0.13,"$10,956.00",2.96,Los Angeles,Mandarin,238,3121,10,Tech Enthusiasts,2021-02-03
6663,NexGen Systems,Social Media,Women 25-34,45 days,Email,0.11,"$10,359.00",7.92,Chicago,Mandarin,633,9858,8,Fashionistas,2021-04-03
6683,Innovate Industries,Search,Men 25-34,30 days,Google Ads,0.04,"$17,350.00",2.35,Los Angeles,English,303,3668,3,Outdoor Adventurers,2021-04-23
6685,NexGen Systems,Display,Men 18-24,60 days,Instagram,0.1,"$19,282.00",7.05,Miami,French,947,5971,2,Foodies,2021-04-25
6706,TechCorp,Influencer,Women 25-34,45 days,Instagram,0.05,"$7,030.00",5.15,New York,Mandarin,550,8253,8,Foodies,2021-05-16
6981,Innovate Industries,Influencer,Men 25-34,30 days,Website,0.13,"$12,758.00",3.1,New York,Mandarin,192,4470,5,Foodies,2021-02-15
6997,Alpha Innovations,Influencer,Men 25-34,60 days,Email,0.08,"$7,537.00",7.15,Chicago,French,860,7087,4,Tech Enthusiasts,2021-03-03
7055,TechCorp,Search,Women 35-44,30 days,YouTube,0.11,"$10,867.00",6.37,Los Angeles,English,366,4165,5,Foodies,2021-04-30
7181,TechCorp,Email,Women 25-34,15 days,Facebook,0.05,"$6,844.00",5.28,Miami,Mandarin,567,1203,6,Outdoor Adventurers,2021-09-03
7261,TechCorp,Influencer,All Ages,60 days,Website,0.06,"$8,885.00",4.08,New York,Spanish,730,9095,7,Health & Wellness,2021-11-22
7298,Innovate Industries,Display,Women 25-34,30 days,Facebook,0.06,"$12,393.00",2.91,Miami,Mandarin,806,8853,5,Outdoor Adventurers,2021-12-29
7324,Innovate Industries,Email,Men 25-34,60 days,Website,0.02,"$10,999.00",5.18,Miami,French,171,9802,3,Foodies,2021-01-24
7330,Alpha Innovations,Search,Women 35-44,15 days,YouTube,0.07,"$5,421.00",2.49,Houston,German,780,9589,9,Health & Wellness,2021-01-30
